Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,CreditScoreBins,Gender_Female,Geography_France,Geography_Germany,Geography_Spain
0.3029834928284991,-1.041759679225311,-1.225847671409028,1,1,1,0.02188649399538614,1,1,True,True,False,False
0.20486707675709395,-1.3875375865624429,0.11735002143511067,1,0,1,0.21653375188734028,0,1,True,False,False,True
0.3029834928284991,1.0329077647974803,1.3330533457228906,3,1,0,0.24068690006348817,1,0,True,True,False,False
-0.0001962328321431418,-1.3875375865624429,-1.225847671409028,2,0,0,-0.10891791702847124,0,2,True,True,False,False
0.40109990889990427,-1.041759679225311,0.7857278997960593,1,1,1,-0.36527578251440274,0,4,True,False,False,True
0.4992163249713094,1.0329077647974803,0.5973285944410416,2,1,0,0.8636502870218095,1,1,True,False,False,True
1.0879148213997403,0.6871298574603484,-1.225847671409028,2,1,1,-1.5654872211931183,0,4,True,True,False,False
-0.9725299160997678,-0.3502038645510472,0.6180189508533648,4,1,0,0.33485372981012046,1,0,True,False,True,False
0.4992163249713094,-0.3502038645510472,1.050820286584903,2,0,1,-0.4373288460949081,0,0,True,True,False,False
-1.168762748242578,-1.041759679225311,0.931463361993678,1,1,1,-0.49323048409247083,0,2,True,True,False,False
-0.7762970839569575,0.34135195012321656,0.4091854022850921,2,0,0,-0.34619970089236274,0,0,True,True,False,False
-1.4631119964567936,-0.695981771888179,-1.225847671409028,2,1,0,-0.412123315592307,0,0,True,False,False,True
-0.481947835742742,1.7244635794717438,-1.225847671409028,2,1,0,-1.283817056739873,0,0,True,True,False,False
-1.3649955803853884,-0.004425957213915305,-1.225847671409028,2,0,0,1.5783569986897874,0,0,True,True,False,False
-0.3838314196713369,0.6871298574603484,-1.225847671409028,2,1,1,-0.5936359656444845,0,1,True,False,False,True
0.5973327410427145,-0.695981771888179,1.0681029591182614,2,0,1,-0.6218824846013182,0,1,True,False,True,False
1.8728461499709816,-1.3875375865624429,0.8993931172292714,1,1,0,-1.651825870574206,1,1,True,False,True,False
-1.4631119964567936,1.3786856721346121,-1.225847671409028,2,1,1,-1.4899561835690913,0,0,True,False,False,True
0.5973327410427145,0.34135195012321656,-1.225847671409028,1,0,0,1.0189010247747559,0,1,True,False,False,True
-1.4631119964567936,0.34135195012321656,-1.225847671409028,2,1,1,-0.7888730584424746,0,2,True,True,False,False
0.20486707675709395,1.0329077647974803,-1.225847671409028,2,1,1,1.2310704831801604,0,2,True,True,False,False
-0.6781806678855524,1.0329077647974803,-1.225847671409028,2,1,0,0.6688717421740601,0,1,True,False,False,True
-0.08948217145712149,-0.3502038645510472,-1.225847671409028,1,1,0,0.32731820632749364,1,0,True,False,False,True
0.6954491571141197,-0.695981771888179,-1.225847671409028,2,0,1,-1.5928757668520803,0,1,True,True,False,False
-0.08948217145712149,-0.004425957213915305,-1.225847671409028,1,1,1,1.5219882921316075,0,4,True,True,False,False
-1.3649955803853884,-0.695981771888179,-1.225847671409028,2,0,1,0.42460549226186645,0,0,True,True,False,False
-0.28571500359993174,-1.041759679225311,0.9669114802146297,1,1,1,1.2163903409521621,0,3,True,False,True,False
0.4992163249713094,1.3786856721346121,-1.225847671409028,2,0,0,-1.0721517054667205,0,0,True,True,False,False
0.40109990889990427,-0.695981771888179,1.0395750259469727,1,1,1,0.0016900390538911513,0,0,True,False,True,False
-0.0001962328321431418,-1.7333154938995747,-0.2690746311079832,2,1,1,-0.8104496783748915,0,0,True,True,False,False
0.008634244614283658,-0.695981771888179,-1.225847671409028,3,1,0,0.7021528985231289,1,1,True,False,False,True
-0.0001962328321431418,0.6871298574603484,0.14145222877469343,1,0,1,0.9849420451757676,0,0,True,True,False,False
0.20486707675709395,1.3786856721346121,0.5389379904752861,2,0,0,-0.31633078816391447,0,0,True,False,True,False
-0.0001962328321431418,0.34135195012321656,-1.225847671409028,2,1,1,-1.1421041777545031,0,0,True,False,False,True
-0.9725299160997678,1.3786856721346121,-1.225847671409028,2,1,1,0.7293439051333712,0,2,True,False,False,True
-0.0001962328321431418,-1.7333154938995747,0.9260167093296421,1,1,0,-1.2566552636509198,1,0,True,True,False,False
-0.7762970839569575,-0.695981771888179,1.1022538431506916,1,0,1,0.24303789296726364,0,0,True,False,False,True
-0.5800642518141472,0.6871298574603484,0.0010050714058922254,1,0,1,-0.02846214049706072,0,4,True,False,False,True
-0.28571500359993174,0.6871298574603484,-1.225847671409028,1,1,1,-1.030773708690248,0,4,True,True,False,False
-0.0001962328321431418,0.34135195012321656,-0.0983488994706338,2,0,1,1.3560603601273575,0,1,True,False,True,False
0.1067506606856888,-0.3502038645510472,-1.225847671409028,1,1,0,-0.5205574726887156,0,0,True,False,False,True
1.1860312374711455,1.0329077647974803,0.7378308850642107,1,0,0,1.4121157168917053,1,0,True,True,False,False
2.167195398185197,-1.041759679225311,0.6560450295292661,1,1,1,-0.10322823597732222,0,0,True,True,False,False
0.9897984053283351,-1.041759679225311,0.8800272410904768,1,0,0,1.6393570917124016,1,4,True,True,False,False
-0.0001962328321431418,-0.004425957213915305,1.2732771981989728,1,1,1,1.0128771271288544,0,1,True,False,False,True
-0.6781806678855524,-0.3502038645510472,0.5278566871606644,2,1,1,0.45954295093404635,0,3,True,False,True,False
-1.168762748242578,1.3786856721346121,0.5699204753635507,1,1,1,0.3411368974574667,1,4,True,False,True,False
0.008634244614283658,1.3786856721346121,0.9833899124270092,1,1,1,0.3048737013667674,1,1,True,False,True,False
-0.08948217145712149,-1.041759679225311,0.4312172277063011,1,0,1,-0.16018938579165293,0,0,True,False,True,False
-0.18759858752852662,-1.041759679225311,0.43727291050579303,2,1,0,1.6347204885477364,0,3,True,False,True,False
0.4992163249713094,1.7244635794717438,0.6391207231492969,2,1,0,1.7035816271473465,0,2,True,False,True,False
-0.28571500359993174,-0.004425957213915305,1.1149271191851777,2,0,0,-0.2376323440500743,0,1,True,False,True,False
-0.5800642518141472,-0.004425957213915305,-1.225847671409028,2,0,0,0.2936645775819838,0,3,True,True,False,False
0.20486707675709395,1.0329077647974803,0.7865476864126006,1,0,0,1.1120387734559636,1,1,True,False,True,False
0.3029834928284991,-1.3875375865624429,0.3527539521024456,1,1,0,-1.0446525657628767,1,1,True,False,True,False
0.40109990889990427,-1.3875375865624429,0.7809373969674329,1,1,1,0.23162583954352248,0,1,True,True,False,False
